"","VCMYMD","VCMEquityIdentifier","price","invRank","MARKET_VAL","sector"
"1",19861205,"AFAM        ",6.38261,10,44.015625,"Health Care"
"2",19861212,"AFAM        ",6.38261,12,44.015625,"Health Care"
"3",19861219,"AFAM        ",6.38261,13,44.015625,"Health Care"
"4",19861226,"AFAM        ",6.38261,14,44.015625,"Health Care"
"5",19861231,"AFAM        ",6.38261,14,44.015625,"Health Care"
"6",19870102,"AFAM        ",6.38261,12,44.015625,"Health Care"
"7",19870109,"AFAM        ",7.09179,5,48.90625,"Health Care"
"8",19870116,"AFAM        ",7.942804,6,54.775,"Health Care"
"9",19870123,"AFAM        ",8.651983,11,59.665625,"Health Care"
"10",19870130,"AFAM        ",9.644834,15,66.5125,"Health Care"
"11",19870206,"AFAM        ",9.644834,11,66.5125,"Health Care"
"12",19870213,"AFAM        ",9.644834,11,66.5125,"Health Care"
"13",19870220,"AFAM        ",9.644834,10,66.5125,"Health Care"
"14",19870227,"AFAM        ",9.644834,10,66.5125,"Health Care"
"15",19870306,"AFAM        ",9.644834,9,66.5125,"Health Care"
"16",19870313,"AFAM        ",9.78667,9,67.490625,"Health Care"
"17",19870320,"AFAM        ",10.495849,14,72.38125,"Health Care"
"18",19870327,"AFAM        ",10.495849,16,72.38125,"Health Care"
"19",19870403,"AFAM        ",10.637684,18,73.359375,"Health Care"
"20",19870410,"AFAM        ",10.495849,21,72.38125,"Health Care"
"21",19870416,"AFAM        ",10.637684,24,73.359375,"Health Care"
"22",19870424,"AFAM        ",10.495849,25,72.38125,"Health Care"
"23",19870501,"AFAM        ",9.928505,20,68.46875,"Health Care"
"24",19870508,"AFAM        ",10.495849,25,72.38125,"Health Care"
"25",19870515,"AFAM        ",11.063191,28,76.29375,"Health Care"
"26",19870522,"AFAM        ",10.921356,28,75.315625,"Health Care"
"27",19870529,"AFAM        ",13.332564,30,91.94375,"Health Care"
"28",19870605,"AFAM        ",13.616236,30,93.9,"Health Care"
"29",19870612,"AFAM        ",13.616236,30,93.9,"Health Care"
"30",19870619,"AFAM        ",13.616236,30,93.9,"Health Care"
"31",19870626,"AFAM        ",13.332564,30,91.94375,"Health Care"
"32",19870702,"AFAM        ",13.048893,30,89.9875,"Health Care"
"33",19870710,"AFAM        ",12.907057,29,89.009375,"Health Care"
"34",19870717,"AFAM        ",12.907057,28,89.009375,"Health Care"
"35",19870724,"AFAM        ",13.048893,28,89.9875,"Health Care"
"36",19870731,"AFAM        ",12.765221,26,88.03125,"Health Care"
"37",19870807,"AFAM        ",12.765221,25,88.03125,"Health Care"
"38",19870814,"AFAM        ",12.765221,22,88.03125,"Health Care"
"39",19870821,"AFAM        ",12.197878,13,84.11875,"Health Care"
"40",19870828,"AFAM        ",12.197878,13,84.11875,"Health Care"
"41",19870904,"AFAM        ",12.197878,16,84.11875,"Health Care"
"42",19870911,"AFAM        ",12.197878,14,84.11875,"Health Care"
