"","VCMYMD","VCMEquityIdentifier","price","invRank","MARKET_VAL","sector"
"1",19841109,"AAPL        ",0.3423288,3,1870.230128704,"Technology"
"2",19841116,"AAPL        ",0.3423288,3,1870.230128704,"Technology"
"3",19841123,"AAPL        ",0.3496908,4,1910.4500772224,"Technology"
"4",19841130,"AAPL        ",0.3644147,7,1990.890064352,"Technology"
"5",19841207,"AAPL        ",0.4012241,20,2191.9900772224,"Technology"
"6",19841214,"AAPL        ",0.3883408,17,2121.6050772224,"Technology"
"7",19841221,"AAPL        ",0.3975433,18,2171.8800579168,"Technology"
"8",19841228,"AAPL        ",0.42331,25,2312.6500579168,"Technology"
"9",19841231,"AAPL        ",0.42331,25,2312.6500579168,"Technology"
"10",19850104,"AAPL        ",0.4177884,20,2282.4851415744,"Technology"
"11",19850111,"AAPL        ",0.4380338,22,2393.09,"Technology"
"12",19850118,"AAPL        ",0.4214694,16,2302.5950707872,"Technology"
"13",19850125,"AAPL        ",0.4361933,17,2383.0350579168,"Technology"
"14",19850201,"AAPL        ",0.4214694,11,2302.5950707872,"Technology"
"15",19850208,"AAPL        ",0.4398741,12,2403.145257408,"Technology"
"16",19850215,"AAPL        ",0.4122671,6,2252.32,"Technology"
"17",19850222,"AAPL        ",0.4067456,6,2222.155128704,"Technology"
"18",19850301,"AAPL        ",0.366255,2,2000.9451415744,"Technology"
"19",19850308,"AAPL        ",0.3165622,1,1729.460128704,"Technology"
"20",19850315,"AAPL        ",0.3331265,1,1819.9550579168,"Technology"
"21",19850322,"AAPL        ",0.327605,1,1789.7900064352,"Technology"
"22",19850329,"AAPL        ",0.3257646,1,1779.735064352,"Technology"
"23",19850404,"AAPL        ",0.30736,1,1679.1850579168,"Technology"
"24",19850412,"AAPL        ",0.30736,1,1679.1850579168,"Technology"
"25",19850419,"AAPL        ",0.331286,1,1809.9000707872,"Technology"
"26",19850426,"AAPL        ",0.3220837,1,1759.6251351392,"Technology"
"27",19850503,"AAPL        ",0.2944765,1,1608.8000579168,"Technology"
"28",19850510,"AAPL        ",0.2981575,1,1628.9100772224,"Technology"
"29",19850517,"AAPL        ",0.3202431,1,1749.5700579168,"Technology"
"30",19850524,"AAPL        ",0.2668692,1,1457.9750707872,"Technology"
"31",19850531,"AAPL        ",0.2558264,1,1397.6450579168,"Technology"
"32",19850607,"AAPL        ",0.2411026,1,1317.2050707872,"Technology"
"33",19850614,"AAPL        ",0.2171763,1,1186.4900579168,"Technology"
"34",19850621,"AAPL        ",0.2374216,1,1297.0950064352,"Technology"
"35",19850628,"AAPL        ",0.2650288,1,1447.920128704,"Technology"
"36",19850705,"AAPL        ",0.2595074,1,1417.7550772224,"Technology"
"37",19850712,"AAPL        ",0.2631883,1,1437.8650064352,"Technology"
"38",19850719,"AAPL        ",0.2558264,1,1397.6450579168,"Technology"
"39",19850726,"AAPL        ",0.2447836,1,1337.315,"Technology"
"40",19850802,"AAPL        ",0.2319003,1,1266.93,"Technology"
"41",19850809,"AAPL        ",0.2245383,1,1226.7100064352,"Technology"
"42",19850816,"AAPL        ",0.2153359,1,1176.4350707872,"Technology"
"43",19850823,"AAPL        ",0.2171763,1,1186.4900579168,"Technology"
"44",19850830,"AAPL        ",0.2208574,1,1206.6000772224,"Technology"
"45",19850906,"AAPL        ",0.2208574,1,1206.6000772224,"Technology"
"46",19850913,"AAPL        ",0.2319003,3,1266.93,"Technology"
"47",19850920,"AAPL        ",0.2466241,7,1347.3700772224,"Technology"
"48",19850926,"AAPL        ",0.2337407,5,1276.9850772224,"Technology"
"49",19851004,"AAPL        ",0.2208574,3,1206.6000772224,"Technology"
"50",19851011,"AAPL        ",0.2355812,7,1287.040064352,"Technology"
"51",19851018,"AAPL        ",0.2613479,24,1427.810064352,"Technology"
"52",19851025,"AAPL        ",0.2650288,26,1447.920128704,"Technology"
"53",19851101,"AAPL        ",0.2742313,27,1498.195064352,"Technology"
"54",19851108,"AAPL        ",0.3018383,30,1649.0200064352,"Technology"
"55",19851115,"AAPL        ",0.292636,29,1598.7450707872,"Technology"
"56",19851122,"AAPL        ",0.2797526,26,1528.3600707872,"Technology"
"57",19851129,"AAPL        ",0.2963169,28,1618.8551351392,"Technology"
"58",19851206,"AAPL        ",0.2907955,27,1588.690128704,"Technology"
"59",19851213,"AAPL        ",0.2944765,25,1608.8000579168,"Technology"
"60",19851220,"AAPL        ",0.3294455,29,1799.845128704,"Technology"
"61",19851227,"AAPL        ",0.3294455,30,1799.845128704,"Technology"
"62",19851231,"AAPL        ",0.3294455,30,1799.845128704,"Technology"
"63",19860103,"AAPL        ",0.3294455,26,1799.845128704,"Technology"
"64",19860110,"AAPL        ",0.334967,27,1830.0101351392,"Technology"
"65",19860117,"AAPL        ",0.3533719,27,1930.5601415744,"Technology"
"66",19860124,"AAPL        ",0.3331265,26,1819.9550579168,"Technology"
"67",19860131,"AAPL        ",0.3404885,26,1860.1750064352,"Technology"
"68",19860207,"AAPL        ",0.3533719,26,1930.5601415744,"Technology"
"69",19860214,"AAPL        ",0.3496908,24,1910.4500772224,"Technology"
"70",19860221,"AAPL        ",0.3717766,26,2031.1100579168,"Technology"
"71",19860228,"AAPL        ",0.3680956,24,2011.000128704,"Technology"
"72",19860307,"AAPL        ",0.3644147,21,1990.890064352,"Technology"
"73",19860314,"AAPL        ",0.38466,23,2101.4950579168,"Technology"
"74",19860321,"AAPL        ",0.4067456,26,2222.155128704,"Technology"
"75",19860327,"AAPL        ",0.415948,27,2272.430064352,"Technology"
"76",19860404,"AAPL        ",0.3938623,24,2151.770128704,"Technology"
"77",19860411,"AAPL        ",0.3975433,22,2171.8800579168,"Technology"
"78",19860418,"AAPL        ",0.4380338,27,2393.09,"Technology"
"79",19860502,"AAPL        ",0.4490765,29,2453.4200579168,"Technology"
"80",19970627,"AAPL        ",0.4737708,1,2362.925128704,"Technology"
"81",19970703,"AAPL        ",0.4415141,1,2202.045064352,"Technology"
"82",19970711,"AAPL        ",0.4898992,2,2443.3650707872,"Technology"
"83",19971212,"AAPL        ",0.4556265,2,2272.430064352,"Technology"
"84",19971219,"AAPL        ",0.4415141,2,2202.045064352,"Technology"
"85",19971226,"AAPL        ",0.4294178,2,2141.7151415744,"Technology"
"86",19971231,"AAPL        ",0.4294178,2,2141.7151415744,"Technology"
"87",19861205,"AFAM        ",6.38261,10,44.015625,"Health Care"
"88",19861212,"AFAM        ",6.38261,12,44.015625,"Health Care"
"89",19861219,"AFAM        ",6.38261,13,44.015625,"Health Care"
"90",19861226,"AFAM        ",6.38261,14,44.015625,"Health Care"
"91",19861231,"AFAM        ",6.38261,14,44.015625,"Health Care"
"92",19870102,"AFAM        ",6.38261,12,44.015625,"Health Care"
"93",19870109,"AFAM        ",7.09179,5,48.90625,"Health Care"
"94",19870116,"AFAM        ",7.942804,6,54.775,"Health Care"
"95",19870123,"AFAM        ",8.651983,11,59.665625,"Health Care"
"96",19870130,"AFAM        ",9.644834,15,66.5125,"Health Care"
"97",19870206,"AFAM        ",9.644834,11,66.5125,"Health Care"
"98",19870213,"AFAM        ",9.644834,11,66.5125,"Health Care"
"99",19870220,"AFAM        ",9.644834,10,66.5125,"Health Care"
"100",19870227,"AFAM        ",9.644834,10,66.5125,"Health Care"
"101",19870306,"AFAM        ",9.644834,9,66.5125,"Health Care"
"102",19870313,"AFAM        ",9.78667,9,67.490625,"Health Care"
"103",19870320,"AFAM        ",10.495849,14,72.38125,"Health Care"
"104",19870327,"AFAM        ",10.495849,16,72.38125,"Health Care"
"105",19870403,"AFAM        ",10.637684,18,73.359375,"Health Care"
"106",19870410,"AFAM        ",10.495849,21,72.38125,"Health Care"
"107",19870416,"AFAM        ",10.637684,24,73.359375,"Health Care"
"108",19870424,"AFAM        ",10.495849,25,72.38125,"Health Care"
"109",19870501,"AFAM        ",9.928505,20,68.46875,"Health Care"
"110",19870508,"AFAM        ",10.495849,25,72.38125,"Health Care"
"111",19870515,"AFAM        ",11.063191,28,76.29375,"Health Care"
"112",19870522,"AFAM        ",10.921356,28,75.315625,"Health Care"
"113",19870529,"AFAM        ",13.332564,30,91.94375,"Health Care"
"114",19870605,"AFAM        ",13.616236,30,93.9,"Health Care"
"115",19870612,"AFAM        ",13.616236,30,93.9,"Health Care"
"116",19870619,"AFAM        ",13.616236,30,93.9,"Health Care"
"117",19870626,"AFAM        ",13.332564,30,91.94375,"Health Care"
"118",19870702,"AFAM        ",13.048893,30,89.9875,"Health Care"
"119",19870710,"AFAM        ",12.907057,29,89.009375,"Health Care"
"120",19870717,"AFAM        ",12.907057,28,89.009375,"Health Care"
"121",19870724,"AFAM        ",13.048893,28,89.9875,"Health Care"
"122",19870731,"AFAM        ",12.765221,26,88.03125,"Health Care"
"123",19870807,"AFAM        ",12.765221,25,88.03125,"Health Care"
"124",19870814,"AFAM        ",12.765221,22,88.03125,"Health Care"
"125",19870821,"AFAM        ",12.197878,13,84.11875,"Health Care"
"126",19870828,"AFAM        ",12.197878,13,84.11875,"Health Care"
"127",19870904,"AFAM        ",12.197878,16,84.11875,"Health Care"
"128",19870911,"AFAM        ",12.197878,14,84.11875,"Health Care"
"129",19870918,"AFAM        ",11.77237,10,81.184375,"Health Care"
